SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 06, 2021	January 05, 2021	January 04, 2021	December 23, 2020	December 22, 2020
Chinese yuan		0.1068650000	0.1067120000	0.1062470000	0.1058910000
Euro		0.8474700000	0.8487120000	0.8447040000	0.8487470000
Japanese yen		0.0066960200	0.0066961000	0.0066999400	0.0067048000
U.K. pound		0.9386670000	0.9435500000	0.9317710000	0.9296750000
U.S. dollar		0.6906280000	0.6902340000	0.6943150000	0.6934770000
Algerian dinar		0.0052201400		0.0052452500	0.0052352100
Australian dollar		0.5318530000	0.5316870000	0.5243470000	0.5240610000
Botswana pula		0.0639522000	0.0639847000	0.0641547000	0.0641466000
Brazilian real		0.1296640000	0.1337140000	0.1342090000	0.1347420000
Brunei dollar		0.5236790000	0.5239370000	0.5200080000	0.5194580000
Canadian dollar		0.5435020000	0.5413180000	0.5400710000	0.5372460000
Chilean peso		0.0009824990	0.0009708620	0.0009524730	0.0009490580
Colombian peso		0.0002018920	0.0002010880	0.0002015490	0.0002014510
Czech koruna		0.0323192000	0.0324678000	0.0320241000	0.0322713000
Danish krone		0.1139270000	0.1141070000	0.1135650000	0.1140770000
Indian rupee		0.0094466000	0.0094537700	0.0094063800	0.0093855300
Israeli New Shekel		0.2156190000	0.2152940000	0.2154920000	0.2144330000
Korean won		0.0006376400	0.0006344060	0.0006274310	0.0006297470
Kuwaiti dinar		2.2774200000	2.2761200000	2.2869400000	2.2841800000
Malaysian ringgit					
Mauritian rupee		0.0174734000	0.0174756000	0.0175365000	0.0175216000
Mexican peso		0.0346289000	0.0347800000	0.0345130000	0.0345767000
New Zealand dollar		0.4954570000		0.4882420000	0.4913280000
Norwegian krone		0.0809323000	0.0812633000	0.0795102000	0.0801170000
Omani rial		1.7961700000	1.7951500000	1.8057600000	1.8035800000
Peruvian sol		0.1904130000	0.1904620000		
Philippine peso		0.0143815000	0.0143736000	0.0144375000	
Polish zloty		0.1865000000	0.1865600000	0.1880640000	0.1878270000
Qatari riyal		0.1897330000	0.1896250000	0.1907460000	0.1905160000
Russian ruble				0.0092014500	0.0092034400
Saudi Arabian riyal		0.1841670000	0.1840620000		0.1849270000
Singapore dollar		0.5236790000	0.5239370000	0.5200080000	0.5194580000
South African rand		0.0461100000	0.0473819000	0.0475672000	0.0475390000
Swedish krona		0.0840753000	0.0842972000	0.0836020000	0.0838089000
Swiss franc		0.7851610000	0.7844910000	0.7802610000	0.7834570000
Thai baht		0.0230948000	0.0230840000	0.0229845000	0.0229971000
Trinidadian dollar		0.1021170000	0.1021040000	0.1031260000	0.1027740000
U.A.E. dirham		0.1880540000	0.1879470000	0.1890580000	0.1888300000
Uruguayan peso		0.0163146000	0.0163718000	0.0164082000	0.0164152000

Currency units per SDR(3)

Currency	January 06, 2021	January 05, 2021	January 04, 2021	December 23, 2020	December 22, 2020
Chinese yuan		9.357600	9.371020	9.412030	9.443670
Euro		1.179980	1.178260	1.183850	1.178210
Japanese yen		149.342000	149.341000	149.255000	149.147000
U.K. pound		1.065340	1.059830	1.073230	1.075640
